Time [s],TrunkUnknown,LUUnknown1,LUUnknown2,LUUnknown3,LUUnknown4,LUKnown,Clock
2.751892082,0,0,0,0,0,0,1
2.751942002,0,0,0,0,0,0,1
2.751991922,0,0,0,0,0,0,1
2.752041842,0,0,0,0,0,0,0
2.752091762,0,0,0,0,0,0,0
2.752141682,0,0,0,0,0,0,0
2.752191602,0,0,0,0,0,0,0
2.752241522,0,0,0,0,0,0,0
2.752291442,0,0,0,0,0,0,0
2.752341362,0,0,0,0,0,0,0
2.752391282,0,0,0,0,0,0,0
2.752441202,0,0,0,0,0,0,0
2.752491122,0,0,0,0,0,0,0
2.752541042,0,0,0,0,0,0,0
2.752590962,0,0,0,0,0,0,0
2.752640882,0,0,0,1,0,0,0
2.752690802,1,1,1,1,1,1,1
2.752740722,1,1,1,1,1,1,1
2.752790642,1,1,1,1,1,1,1
2.752840562,1,1,1,1,1,1,1
2.752890482,1,1,1,1,1,1,1
2.752940402,1,1,1,1,1,1,1
2.752990322,1,1,1,1,1,1,1
2.753040242,1,1,1,1,1,1,1
2.753090162,1,1,1,1,1,1,1
2.753140082,1,1,1,1,1,1,1
2.753190002,1,1,1,1,1,1,1
2.753239922,1,1,1,1,1,1,0
2.753289842,1,1,1,1,1,1,0
2.753339762,1,1,1,1,1,1,0
2.753389682,1,1,1,1,1,1,0
2.753439602,1,1,1,1,1,1,0
2.753489522,1,1,1,1,1,1,0
2.753539442,1,1,1,1,1,1,0
2.753589362,1,1,1,1,1,1,0
2.753639282,1,1,1,1,1,1,0
2.753689202,1,1,1,1,1,1,0
2.753739122,1,1,1,1,1,1,0
2.753789042,1,1,1,1,1,1,0
2.753838962,1,1,1,1,1,1,0
2.753888882,1,1,1,1,1,1,1
2.753938802,1,1,1,1,1,1,1
2.753988722,1,1,1,1,1,1,1
2.754038642,1,1,1,1,1,1,1
2.754088562,1,1,1,1,1,1,1
2.754138482,1,1,1,1,1,1,1
2.754188402,1,1,1,1,1,1,1
2.754238322,1,1,1,1,1,1,1
2.754288242,1,1,1,1,1,1,1
2.754338162,1,1,1,1,1,1,1
2.754388082,1,1,1,1,1,1,1
2.754438002,1,1,1,1,1,1,1
2.754487922,1,1,1,1,1,1,0
2.754537842,1,1,1,1,1,1,0
2.754587762,1,1,1,1,1,1,0
2.754637682,1,1,1,1,1,1,0
2.754687602,1,1,1,1,1,1,0
2.754737522,1,1,1,1,1,1,0
2.754787442,1,1,1,1,1,1,0
2.754837362,1,1,1,1,1,1,0
2.754887282,1,1,1,1,1,1,0
2.754937202,1,1,1,1,1,1,0
2.754987122,1,1,1,1,1,1,0
2.755037042,1,1,1,1,1,1,0
2.755086962,1,1,1,1,1,1,0
2.755136882,1,1,1,1,1,1,1
2.755186802,1,1,1,1,1,1,1
2.755236722,1,1,1,1,1,1,1
2.755286642,1,1,1,1,1,1,1
2.755336562,1,1,1,1,1,1,1
2.755386482,1,1,1,1,1,1,1
2.755436402,1,1,1,1,1,1,1
2.755486322,1,1,1,1,1,1,1
2.755536242,1,1,1,1,1,1,1
